Compound_id,pChEMBL Value,smiles
CHEMBL1271899,5.51,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cn2)n1
CHEMBL1271953,5.06,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN(CCO)CC3)cn2)n1
CHEMBL1271954,4.96,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN[C@@H](C)C3)cn2)n1
CHEMBL1272010,5.08,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN[C@H](C)C3)cn2)n1
CHEMBL1272011,4.99,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCNC(C)(C)C3)cn2)n1
CHEMBL1272065,4.85,CC1CN(c2ccc(Nc3nccc(-c4c(C(C)C)n[nH]c4Cl)n3)nc2)CC(C)N1
CHEMBL1272066,,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(CN3CCN[C@@H](C)C3)cn2)n1
CHEMBL1272115,,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(CN3CCN[C@H](C)C3)cn2)n1
CHEMBL1272116,,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1
CHEMBL1272171,,CC(C)c1n[nH]c(C(F)(F)F)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1
CHEMBL1272326,7.46,CC(C)c1n[nH]cc1-c1ccnc(NC2CCCCC2)n1
CHEMBL1272327,6.31,CC(C)c1n[nH]cc1-c1ccnc(NC2CCNCC2)n1
CHEMBL1276127,5,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O
CHEMBL1276127,4.7,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O
CHEMBL1276317,5.78,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\OCC(O)CO
CHEMBL130395,4.79,CN1CCC(c2c(O)cc(O)c3c(O)c/c(=N\c4ccccc4)oc23)C(O)C1
CHEMBL132243,5.92,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CCO)nc21
CHEMBL132687,5.6,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCO)nc21
CHEMBL132888,5.6,CN1CCC(c2c(O)cc(O)c3c(=O)cc(N4CCCCC4)oc23)C(O)C1
CHEMBL133498,6.89,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(Oc4ccccc4Cl)oc23)[C@H](O)C1
CHEMBL133712,5.38,CC(=O)c1cnc2oc3ccc(O)cc3c2c1-c1ccccc1
CHEMBL134003,5.52,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCCO)nc21
CHEMBL134080,6.7,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CCCCO)nc21
CHEMBL134233,5.52,CCC(O)CCc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL134239,6.75,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CC3(O)CCCCC3)nc21
CHEMBL14762,6.35,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL14762,6.46,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL14762,5.68,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL14762,4.77,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL14762,5.62,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL14762,5.54,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL14762,6.35,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL14762,5.1,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
